VKL_NUMMER,Year,Accident_Severity,Parties_Involved,Area_Code,Latitude,Longitude
20140141297,2014,Vehicle Damage,1,JTE0223195056,51.5689602071049,4.764808266921026
20140141298,2014,Vehicle Damage,2,HTT02142110100559,51.627603959569775,4.704797459313376
20140141302,2014,Vehicle Damage,2,WVK0221202005,51.600120195490476,4.748510034087682
20140141304,2014,Vehicle Damage,2,WVK0225198149,51.582110681127624,4.777310342214773
20140141305,2014,Wounded,3,JTE0228205006,51.613090511033896,4.799946702750463
20140141306,2014,Vehicle Damage,1,WVK0229198044,51.578815026410595,4.806224077822129
20140120141,2014,Vehicle Damage,3,HTT02201810040699,51.50682872092232,4.7441599092069975
20140120142,2014,Vehicle Damage,1,WVK0218195006,51.56324724852677,4.73276394223303
20140123121,2014,Vehicle Damage,2,JTE0226200152,51.59170556763933,4.78524707495386
20140123135,2014,Vehicle Damage,1,WVK0224186009,51.52454593643953,4.7691841602990515
20140123137,2014,Vehicle Damage,2,JTE0223195056,51.5689602071049,4.764808266921026
20140124962,2014,Vehicle Damage,2,WVK0225199108,51.58462796393908,4.778738502822384
20140124965,2014,Vehicle Damage,2,JTE0223195056,51.5689602071049,4.764808266921026
20140124967,2014,Vehicle Damage,2,WVK0221204024,51.606740855334465,4.750417897564678
20140124970,2014,Vehicle Damage,1,WVK0224200238,51.58778047959709,4.771870043448804
20140128627,2014,Vehicle Damage,1,WVK0226200072,51.59178635549365,4.785559129239831
20140128628,2014,Vehicle Damage,1,HTT02311920100018,51.5529332164125,4.82271230078996
20140131676,2014,Vehicle Damage,3,WVK0223195007,51.568957983025626,4.765199414911673
20140131681,2014,Vehicle Damage,1,WVK0220196128,51.57023687553449,4.7430503566501345
20140131683,2014,Vehicle Damage,2,JTE0223195056,51.5689602071049,4.764808266921026
20140133986,2014,Vehicle Damage,2,JTE0223195056,51.5689602071049,4.764808266921026
20140136367,2014,Wounded,3,WVK0218197017,51.57197283376953,4.728574242137915
20140141684,2014,Vehicle Damage,2,WVK0227204158,51.60937702711704,4.788368849475908
20140141685,2014,Wounded,3,JTE0223195056,51.5689602071049,4.764808266921026
20140141686,2014,Vehicle Damage,2,WVK0223199064,51.58338575196613,4.763487323301795
20140141688,2014,Vehicle Damage,3,JTE0223195056,51.5689602071049,4.764808266921026
20140141693,2014,Wounded,4,WVK0221197018,51.57556578670673,4.749745481452151
20140141694,2014,Vehicle Damage,1,WVK0214208002,51.62380479321939,4.696293688524192
20140141712,2014,Vehicle Damage,2,JTE0223195056,51.5689602071049,4.764808266921026
20140121339,2014,Vehicle Damage,1,WVK0228197079,51.574182969687875,4.802625743888864
